Ranking Position,Name,Author,Link,Price
#31,EL DIARIO DE LA ABUELA RITA,"VALLEJOS, MELINA",https://cuspide.com/producto/el-diario-de-la-abuela-rita/,639900.0
#32,EL DUELO ( CUANDO EL DOLOR SE HACE CARNE ),"ROLON, GABRIEL",https://cuspide.com/producto/el-duelo-cuando-el-dolor-se-hace-carne/,1390000.0
#33,NOSOTROS DOS EN LA TORMENTA,"SACHERI, EDUARDO",https://cuspide.com/producto/nosotros-dos-en-la-tormenta/,1599900.0
#34,LOS SIETE MARIDOS DE EVELYN HUGO,"JENKINS REID, TAYLOR",https://cuspide.com/producto/los-siete-maridos-de-evelyn-hugo/,1355000.0
#35,UNA FAMILIA ANORMAL,"VALLEJOS, LYNA",https://cuspide.com/producto/una-familia-anormal-5/,579900.0
#36,JUEGA CON LA SELECCION,,https://cuspide.com/producto/juega-con-la-seleccion/,639900.0
#37,TAYLOR : FROM THE VAULT,,https://cuspide.com/producto/taylor-from-the-vault/,829900.0
#38,GATURRO DE ORO 3,,https://cuspide.com/producto/gaturro-de-oro-3/,599900.0
#39,EL HOMBRE EN BUSCA DE SENTIDO,"FRANKL, VIKTOR E.",https://cuspide.com/producto/el-hombre-en-busca-de-sentido/,990000.0
#40,ANTES DE QUE SE ENFRIE EL CAFE,"KAWAGUCHI, TOSHIKAZU",https://cuspide.com/producto/antes-de-que-se-enfrie-el-cafe/,1279900.0
#41,UNA VELADA EN LA LIBRERIA MORISAKI,"YAGISAWA, SATOSHI",https://cuspide.com/producto/una-velada-en-la-libreria-morisaki/,650000.0
